,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
3077,Mont Kiara,1450000.0,4+1,4.0,3.0,Condominium (Corner),2513.0,Fully Furnished,Built-up
3078,Mont Kiara,1430000.0,3+1,3.0,2.0,Condominium (Corner),1875.0,Fully Furnished,Built-up
3080,Pandan Perdana,270000.0,Studio,1.0,1.0,Condominium,450.0,Partly Furnished,Built-up
3081,Dutamas,1150000.0,4,3.0,2.0,Condominium (Corner),1929.0,Partly Furnished,Built-up
3082,Jalan Klang Lama (Old Klang Road),460000.0,3,2.0,1.0,Condominium (Corner),1044.0,Partly Furnished,Built-up
3083,KL Sentral,1550000.0,3+1,2.0,1.0,Condominium (Intermediate),1584.0,Fully Furnished,Built-up
3084,Damansara Heights,7000000.0,7,6.0,6.0,Bungalow (Intermediate),7680.0,Partly Furnished,Land area
3091,Seputeh,5800000.0,5+1,6.0,4.0,Bungalow (Intermediate),4500.0,Partly Furnished,Land area
3092,Ampang,7800000.0,4+2,6.0,8.0,Bungalow,16500.0,Unfurnished,Land area
3093,Bukit Tunku (Kenny Hills),8000000.0,6+1,6.0,8.0,Bungalow (Corner),20800.0,Partly Furnished,Land area
3096,Jalan Klang Lama (Old Klang Road),565000.0,3+1,3.0,1.0,Condominium (Corner),1385.0,Partly Furnished,Built-up
3097,Jalan Klang Lama (Old Klang Road),400000.0,1,2.0,1.0,Serviced Residence (Duplex),775.0,Fully Furnished,Built-up
3101,Taman Desa,508000.0,2,2.0,1.0,Serviced Residence,715.0,Partly Furnished,Built-up
3102,Taman Desa,628000.0,3,2.0,1.0,Serviced Residence,935.0,Partly Furnished,Built-up
3104,Sentul,1198000.0,3+1,4.0,2.0,Condominium,1757.0,Fully Furnished,Built-up
3106,Setapak,330000.0,Studio,1.0,1.0,Serviced Residence,543.0,Partly Furnished,Built-up
3116,Setapak,330000.0,Studio,1.0,1.0,Serviced Residence,543.0,Partly Furnished,Built-up
3126,Batu Caves,500000.0,3,2.0,2.0,Serviced Residence,975.0,Partly Furnished,Built-up
3129,Setapak,838000.0,3+1,3.0,2.0,Condominium,1477.0,Partly Furnished,Built-up
3131,Ampang,2100000.0,3+1,5.0,2.0,Serviced Residence (Duplex),960.0,Fully Furnished,Land area
3134,Taman Desa,420000.0,1,1.0,1.0,Serviced Residence,578.0,Partly Furnished,Built-up
3137,Wangsa Maju,440000.0,3,2.0,3.0,Condominium,1150.0,Partly Furnished,Built-up
3138,Ampang Hilir,1050000.0,2,2.0,1.0,Serviced Residence (Intermediate),959.0,Fully Furnished,Land area
3139,Mont Kiara,2000000.0,4,5.0,2.0,Condominium,2055.0,Fully Furnished,Built-up
3140,Mont Kiara,2450000.0,4,4.0,4.0,Condominium,2535.0,Fully Furnished,Built-up
3141,Mont Kiara,2200000.0,5,4.0,2.0,Condominium,1830.0,Partly Furnished,Built-up
3146,Bangsar,1550000.0,3,3.0,2.0,Condominium (Corner),1905.0,Partly Furnished,Built-up
3150,KLCC,1078000.0,1,1.0,1.0,Condominium,850.0,Fully Furnished,Built-up
3151,Damansara Heights,1400000.0,1,1.0,1.0,Serviced Residence,904.0,Fully Furnished,Built-up
3152,Batu Caves,535000.0,3,2.0,2.0,Serviced Residence (Intermediate),975.0,Fully Furnished,Built-up
3153,KLCC,1280000.0,2+1,2.0,1.0,Serviced Residence (Corner),900.0,Fully Furnished,Land area
3154,Jalan Klang Lama (Old Klang Road),450000.0,3+1,2.0,1.0,Condominium,1201.0,Fully Furnished,Built-up
3155,Taman Desa,470000.0,3,2.0,1.0,Condominium,1210.0,Fully Furnished,Built-up
3157,Jalan Ipoh,612000.0,3,2.0,2.0,Condominium (Intermediate),978.0,Partly Furnished,Built-up
3158,Jalan Ipoh,640000.0,3,2.0,2.0,Condominium (Intermediate),978.0,Partly Furnished,Built-up
3159,Brickfields,680000.0,3,2.0,1.0,Condominium,1150.0,Fully Furnished,Built-up
3161,Bangsar South,660000.0,2,2.0,1.0,Serviced Residence (Intermediate),823.0,Unfurnished,Built-up
3162,Jalan Klang Lama (Old Klang Road),410000.0,2,2.0,1.0,Serviced Residence (Corner),722.0,Fully Furnished,Built-up
3163,Cheras,520000.0,2,2.0,1.0,Condominium,962.0,Partly Furnished,Built-up
3165,OUG,588000.0,3,2.0,2.0,1.5-sty Terrace/Link House,1540.0,Partly Furnished,Land area
3166,Jalan Klang Lama (Old Klang Road),680000.0,3,2.0,2.0,Condominium,935.0,Partly Furnished,Built-up
3171,Taman Tun Dr Ismail,2880000.0,4+1,4.0,3.0,Semi-detached House (Intermediate),3600.0,Partly Furnished,Land area
3173,Desa ParkCity,1830000.0,3,2.0,2.0,Condominium (Intermediate),1400.0,Fully Furnished,Built-up
3179,Sentul,1180000.0,4+1,4.0,3.0,Condominium (Penthouse),2258.0,Fully Furnished,Built-up
3180,Jalan Kuching,840000.0,3+1,4.0,2.0,Condominium (Corner),1800.0,Partly Furnished,Built-up
3181,Wangsa Maju,430000.0,4,2.0,1.0,Apartment (Corner),1173.0,Partly Furnished,Land area
3182,Mont Kiara,625000.0,Studio,1.0,1.0,Serviced Residence,496.0,Fully Furnished,Land area
3187,Desa Pandan,980000.0,2,2.0,2.0,Serviced Residence (Intermediate),1410.0,Partly Furnished,Built-up
3188,Kuchai Lama,590000.0,3,2.0,2.0,Condominium,986.0,Fully Furnished,Built-up
3189,Desa Pandan,760000.0,2,2.0,2.0,Serviced Residence (Intermediate),1076.0,Partly Furnished,Built-up
3194,Bukit Jalil,530000.0,3,3.0,2.0,Condominium (Intermediate),1003.0,Unfurnished,Built-up
3195,Taman Desa,460000.0,1,1.0,1.0,Serviced Residence,578.0,Fully Furnished,Land area
3198,Kepong,425000.0,3,2.0,1.0,Serviced Residence (Intermediate),1137.0,Unfurnished,Built-up
3199,Mont Kiara,2200000.0,4+1,5.0,3.0,Condominium,3800.0,Partly Furnished,Built-up
3200,Jalan Klang Lama (Old Klang Road),1200000.0,3+1,3.0,2.0,Condominium (Intermediate),1875.0,Fully Furnished,Built-up
3202,Taman Melawati,2950000.0,5+1,6.0,6.0,Bungalow (Intermediate),5694.0,Partly Furnished,Land area
3204,KLCC,1570000.0,2,2.0,1.0,Condominium,1281.0,Fully Furnished,Built-up
3205,Sri Hartamas,3100000.0,4+1,6.0,3.0,Condominium (Duplex),3983.0,Fully Furnished,Built-up
3215,Ampang,510000.0,1,1.0,1.0,Serviced Residence,705.0,Partly Furnished,Built-up
3217,Mont Kiara,1250000.0,3+1,4.0,2.0,Condominium,1448.0,Fully Furnished,Built-up
3219,Mont Kiara,4500000.0,4+1,6.0,7.0,Condominium,7266.0,Fully Furnished,Built-up
3221,Mont Kiara,2450000.0,3+1,5.0,4.0,Condominium,2535.0,Fully Furnished,Built-up
3222,Mont Kiara,1460000.0,1+1,1.0,4.0,Condominium (Corner),1514.0,Fully Furnished,Built-up
3223,Mont Kiara,2700000.0,4+1,6.0,5.0,Condominium,3000.0,Partly Furnished,Built-up
3226,Mont Kiara,1980000.0,3+1,4.0,3.0,Condominium,2535.0,Partly Furnished,Built-up
3227,Cheras,310000.0,2,1.0,1.0,Serviced Residence (Intermediate),695.0,Fully Furnished,Built-up
3235,Mont Kiara,1800000.0,4+1,5.0,2.0,Condominium (Penthouse),4300.0,Partly Furnished,Built-up
3236,Bukit Tunku (Kenny Hills),1790000.0,3+1,5.0,2.0,Condominium,2207.0,Partly Furnished,Built-up
3238,Mont Kiara,2300000.0,3+1,5.0,2.0,Condominium,2707.0,Partly Furnished,Built-up
3246,Mont Kiara,2950000.0,4+1,4.0,3.0,Condominium,3478.0,Fully Furnished,Built-up
3255,Mont Kiara,3230000.0,4+1,4.0,3.0,Condominium,3478.0,Fully Furnished,Built-up
3256,Mont Kiara,4700000.0,4+1,6.0,3.0,Condominium,4723.0,Partly Furnished,Built-up
3261,Mont Kiara,3500000.0,4+1,6.0,3.0,Condominium,3632.0,Partly Furnished,Built-up
3276,Seputeh,2500000.0,6,5.0,6.0,Bungalow (Corner),7720.0,Unfurnished,Land area
3281,Bukit Jalil,849000.0,3+1,3.0,2.0,Condominium,1335.0,Partly Furnished,Built-up
3285,Taman Desa,648000.0,3,2.0,2.0,Serviced Residence (Intermediate),936.0,Partly Furnished,Land area
3286,Kuchai Lama,490000.0,3,2.0,2.0,Serviced Residence (Intermediate),935.0,Fully Furnished,Land area
3287,Jalan Klang Lama (Old Klang Road),550000.0,3,2.0,1.0,Condominium (Intermediate),1130.0,Partly Furnished,Built-up
3288,Pandan Indah,1230000.0,6,4.0,4.0,Townhouse,4900.0,Partly Furnished,Land area
3289,Sri Hartamas,3500000.0,4+1,5.0,3.0,Semi-detached House,3874.0,Partly Furnished,Land area
3290,Sungai Besi,450000.0,2+1,3.0,1.0,Condominium (Intermediate),1042.0,Partly Furnished,Built-up
3292,Mont Kiara,3800000.0,5,4.0,4.0,Semi-detached House,4000.0,Partly Furnished,Built-up
3294,Jalan Klang Lama (Old Klang Road),670000.0,3,2.0,2.0,Serviced Residence,900.0,Partly Furnished,Built-up
3297,KLCC,2200000.0,2,2.0,2.0,Serviced Residence,1270.0,Partly Furnished,Built-up
3303,KLCC,2800000.0,4+1,5.0,3.0,Serviced Residence,0.0,Fully Furnished,Land area
3306,Cheras,540000.0,3,2.0,1.0,Condominium (Corner),1051.0,Partly Furnished,Built-up
3307,Dutamas,646701.0,3,2.0,2.0,Serviced Residence,1033.0,Partly Furnished,Built-up
3309,Setapak,499000.0,4,2.0,2.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up
3311,Damansara Heights,880000.0,2+1,3.0,1.0,Condominium,1516.0,Fully Furnished,Built-up
3312,Bukit Jalil,359999.0,3,2.0,1.0,Condominium (Intermediate),1222.0,Partly Furnished,Built-up
3314,KLCC,1550000.0,3+1,5.0,2.0,Condominium (Intermediate),2098.0,Fully Furnished,Built-up
3321,Jalan Klang Lama (Old Klang Road),610000.0,3+1,4.0,1.0,Condominium (Corner),1331.0,Fully Furnished,Built-up
3324,Cheras,278000.0,3,2.0,1.0,Apartment (Intermediate),780.0,Partly Furnished,Built-up
3327,Sentul,1150000.0,3+1,3.0,2.0,Condominium (Corner),1757.0,Partly Furnished,Built-up
3328,Cheras,700000.0,3+1,3.0,2.0,Townhouse (Intermediate),1657.0,Partly Furnished,Built-up
3329,Setapak,480000.0,1,1.0,5.0,Serviced Residence (Corner),769.0,Partly Furnished,Built-up
3333,Setapak,500000.0,4,2.0,1.0,Condominium (Corner),1450.0,Unknown,Built-up
3335,Mont Kiara,1360000.0,5,5.0,2.0,3-sty Terrace/Link House (Intermediate),3480.0,Partly Furnished,Built-up
3336,Batu Caves,630000.0,2,2.0,1.0,Serviced Residence,904.0,Partly Furnished,Built-up
3337,Batu Caves,750000.0,3,2.0,2.0,Serviced Residence (Corner),1109.0,Partly Furnished,Built-up
3338,Damansara Heights,12500000.0,5+1,7.0,3.0,Bungalow,9300.0,Fully Furnished,Land area
3340,Country Heights Damansara,9000000.0,6+1,10.0,10.0,Bungalow,11700.0,Partly Furnished,Land area
3341,Jalan Klang Lama (Old Klang Road),700000.0,3+1,2.0,2.0,Serviced Residence (Intermediate),1094.0,Fully Furnished,Built-up
3342,Mont Kiara,1500000.0,3+1,4.0,2.0,Condominium,1496.0,Partly Furnished,Built-up
3343,Bukit Jalil,630000.0,2,2.0,1.0,Serviced Residence (Intermediate),791.0,Partly Furnished,Built-up
3344,Dutamas,1300000.0,3,2.0,1.0,Serviced Residence,1238.0,Fully Furnished,Built-up
3345,Dutamas,720000.0,1,1.0,1.0,Serviced Residence,672.0,Fully Furnished,Built-up
3346,Setapak,392000.0,1+1,2.0,1.0,Serviced Residence,657.0,Partly Furnished,Built-up
3350,Dutamas,2300000.0,5+1,6.0,2.0,Semi-detached House,1894.0,Partly Furnished,Land area
3359,Bukit Jalil,1350000.0,3+1,2.0,2.0,Condominium,1678.0,Unfurnished,Built-up
3360,Bukit Jalil,1500000.0,3+1,2.0,2.0,Condominium,1678.0,Partly Furnished,Built-up
3361,Bukit Jalil,1800000.0,3+1,4.0,4.0,Condominium,2556.0,Fully Furnished,Built-up
3363,Bukit Jalil,2600000.0,4,4.0,3.0,Condominium,3260.0,Partly Furnished,Built-up
3364,Jalan Klang Lama (Old Klang Road),420000.0,2+1,2.0,1.0,Serviced Residence,780.0,Partly Furnished,Built-up
3366,Sungai Besi,520000.0,3,2.0,1.0,Condominium (Intermediate),1044.0,Partly Furnished,Built-up
3367,Bukit Jalil,630000.0,3,2.0,2.0,Condominium (Intermediate),1196.0,Partly Furnished,Built-up
3368,Bukit Jalil,685000.0,3+1,3.0,2.0,Condominium (Intermediate),1276.0,Fully Furnished,Built-up
3369,Cheras,1100000.0,4+1,3.0,2.0,Condominium (Corner),1608.0,Partly Furnished,Land area
3370,Cheras,990000.0,4+1,3.0,2.0,Condominium (Intermediate),1672.0,Partly Furnished,Land area
3372,Country Heights Damansara,11800000.0,7,8.0,10.0,Bungalow,8618.0,Partly Furnished,Land area
3375,Bukit Jalil,890000.0,3+1,3.0,2.0,Condominium,1450.0,Partly Furnished,Built-up
3376,Bukit Jalil,800000.0,3+1,3.0,2.0,Condominium,1335.0,Partly Furnished,Built-up
3377,Sri Petaling,370000.0,2,2.0,1.0,2-sty Terrace/Link House (Intermediate),825.0,Partly Furnished,Land area
3378,Sri Petaling,220000.0,2,1.0,1.0,Apartment (Corner),646.0,Partly Furnished,Built-up
3379,Jalan Klang Lama (Old Klang Road),640000.0,3+1,2.0,2.0,Serviced Residence,1094.0,Partly Furnished,Built-up
3381,Jalan Ipoh,638000.0,4+1,3.0,1.0,Condominium (Corner),1581.0,Partly Furnished,Built-up
3385,Dutamas,705000.0,1,1.0,1.0,Serviced Residence,672.0,Fully Furnished,Built-up
3386,Damansara Heights,15000000.0,5+1,6.0,6.0,Bungalow,12000.0,Partly Furnished,Land area
3387,Cheras,841700.0,2,2.0,2.0,Serviced Residence (Duplex),1121.0,Partly Furnished,Built-up
3388,Cheras,795308.0,2,2.0,2.0,Serviced Residence,1066.0,Partly Furnished,Built-up
3389,Cheras,601469.0,2,1.0,1.0,Serviced Residence,821.0,Partly Furnished,Built-up
3390,Cheras,974600.0,3+1,2.0,2.0,Serviced Residence (Duplex),1328.0,Partly Furnished,Built-up
3391,Cheras,535400.0,1,2.0,1.0,Serviced Residence (Duplex),762.0,Partly Furnished,Built-up
3392,Cheras,597443.0,1,1.0,1.0,Serviced Residence,857.0,Partly Furnished,Built-up
3393,Jalan Kuching,540000.0,3+1,2.0,1.0,Condominium (Corner),1200.0,Partly Furnished,Built-up
3394,Setapak,600000.0,3,2.0,2.0,Condominium,1100.0,Unfurnished,Built-up
3396,Sungai Besi,420000.0,2,2.0,2.0,Serviced Residence (Corner),695.0,Unfurnished,Built-up
3397,Jalan Klang Lama (Old Klang Road),1200000.0,3,4.0,2.0,Condominium (Intermediate),1875.0,Partly Furnished,Land area
3401,Bangsar South,690000.0,2,2.0,1.0,Serviced Residence (Intermediate),815.0,Fully Furnished,Land area
3404,Jalan Kuching,1650000.0,5+1,5.0,4.0,Semi-detached House (Intermediate),6120.0,Fully Furnished,Built-up
3406,Mont Kiara,1550000.0,3+1,3.0,2.0,Condominium,1871.0,Fully Furnished,Land area
3407,Cheras,4300000.0,7,9.0,4.0,Bungalow (Intermediate),5000.0,Fully Furnished,Land area
3410,Cheras,700000.0,3+1,3.0,2.0,Serviced Residence (Intermediate),979.0,Fully Furnished,Built-up
3412,Taman Desa,1430000.0,3+1,4.0,2.0,Condominium,1712.0,Partly Furnished,Built-up
3413,Kepong,588000.0,3+1,2.0,2.0,Serviced Residence (Intermediate),1292.0,Partly Furnished,Built-up
3415,Bukit Bintang,3854400.0,3+1,4.0,2.0,Serviced Residence,2409.0,Fully Furnished,Built-up
3416,Bukit Bintang,2700000.0,2,3.0,1.0,Serviced Residence,1509.0,Fully Furnished,Built-up
3417,Jalan Klang Lama (Old Klang Road),340000.0,3,2.0,1.0,Serviced Residence (Corner),950.0,Partly Furnished,Built-up
3419,Bukit Jalil,645000.0,3+1,3.0,3.0,Condominium (Corner),1500.0,Fully Furnished,Built-up
3423,Mont Kiara,4280000.0,5+1,5.0,4.0,Semi-detached House (EndLot),4000.0,Partly Furnished,Land area
3426,Desa ParkCity,2730000.0,3+1,5.0,3.0,2-sty Terrace/Link House (Corner),3000.0,Partly Furnished,Built-up
3428,Salak Selatan,402000.0,2,2.0,1.0,Serviced Residence (Intermediate),850.0,Fully Furnished,Built-up
3429,Setapak,435000.0,3,2.0,2.0,Serviced Residence (Intermediate),845.0,Partly Furnished,Built-up
3430,Mont Kiara,1880000.0,3+1,4.0,2.0,Condominium (Intermediate),2243.0,Fully Furnished,Built-up
3431,Bukit Jalil,3200000.0,6+1,7.0,5.0,Semi-detached House (Intermediate),5317.0,Partly Furnished,Land area
3432,Bukit Jalil,450000.0,3,2.0,1.0,Condominium (Intermediate),1224.0,Fully Furnished,Built-up
3435,OUG,2380000.0,5+1,4.0,3.0,Bungalow,4455.0,Partly Furnished,Land area
3436,Wangsa Maju,385000.0,1+1,2.0,1.0,Serviced Residence (Intermediate),657.0,Partly Furnished,Land area
3437,Cheras,520000.0,3,2.0,2.0,Serviced Residence,1104.0,Unfurnished,Built-up
3438,Mont Kiara,11000000.0,5+1,8.0,5.0,Bungalow (Corner),7988.0,Partly Furnished,Land area
3439,Jalan Klang Lama (Old Klang Road),870000.0,3+1,3.0,2.0,Condominium,1620.0,Partly Furnished,Built-up
3440,Jalan Klang Lama (Old Klang Road),945000.0,3+1,3.0,2.0,Condominium (Corner),1535.0,Fully Furnished,Built-up
3441,Jalan Klang Lama (Old Klang Road),870000.0,3+1,3.0,2.0,Condominium,1600.0,Partly Furnished,Built-up
3442,Jalan Ipoh,680000.0,4+1,3.0,1.0,Condominium,1500.0,Partly Furnished,Built-up
3443,Jalan Kuching,550000.0,2,2.0,1.0,Condominium,975.0,Partly Furnished,Built-up
3444,Sungai Besi,525000.0,3,2.0,2.0,Condominium,1180.0,Partly Furnished,Built-up
3445,Jalan Klang Lama (Old Klang Road),1300000.0,3+2,4.0,3.0,Condominium (Corner),2128.0,Fully Furnished,Built-up
3447,City Centre,6000000.0,3+1,4.0,2.0,Condominium (Duplex),3200.0,Fully Furnished,Built-up
3449,Taman Tun Dr Ismail,1350000.0,3,3.0,2.0,Serviced Residence (Intermediate),1690.0,Partly Furnished,Built-up
3450,Sentul,840000.0,3,3.0,2.0,Condominium (Intermediate),1338.0,Partly Furnished,Built-up
3452,Dutamas,1035000.0,3+1,5.0,2.0,Condominium (Corner),1876.0,Partly Furnished,Built-up
3453,Cheras,1050000.0,2,2.0,1.0,Apartment (Intermediate),883.0,Unknown,Built-up
3454,Ampang Hilir,2600000.0,4,5.0,3.0,2-sty Terrace/Link House,2700.0,Partly Furnished,Land area
3458,Taman Tun Dr Ismail,1800000.0,1+2,4.0,3.0,Serviced Residence (Intermediate),2277.0,Partly Furnished,Built-up
3459,KLCC,1600000.0,2+1,2.0,1.0,Condominium,1830.0,Partly Furnished,Built-up
3461,Jalan Klang Lama (Old Klang Road),1160000.0,2+1,3.0,2.0,Condominium (Intermediate),1707.0,Partly Furnished,Built-up
3462,Bangsar South,1121800.0,2+1,2.0,1.0,Serviced Residence,1200.0,Partly Furnished,Built-up
3463,KLCC,4098000.0,3+1,4.0,2.0,Serviced Residence (Corner),2059.0,Fully Furnished,Built-up
3466,Cheras,368000.0,2,2.0,1.0,Serviced Residence,650.0,Partly Furnished,Built-up
3467,Mont Kiara,1642744.0,4+1,5.0,3.0,Condominium,2163.0,Partly Furnished,Built-up
3472,KLCC,1473450.0,3,3.0,1.0,Condominium (Intermediate),1551.0,Fully Furnished,Built-up
3474,Mont Kiara,1780000.0,3+1,4.0,2.0,Condominium (Corner),2073.0,Partly Furnished,Built-up
3475,Desa ParkCity,1400000.0,2,2.0,2.0,Condominium,1292.0,Fully Furnished,Built-up
3476,Desa ParkCity,790000.0,1+1,1.0,2.0,Condominium,969.0,Partly Furnished,Built-up
3477,Desa ParkCity,900000.0,2,1.0,2.0,Condominium (Intermediate),969.0,Fully Furnished,Built-up
3479,Bukit Tunku (Kenny Hills),8000000.0,6+1,7.0,6.0,Bungalow (Corner),20600.0,Partly Furnished,Land area
3480,Taman Desa,4088000.0,5+1,6.0,5.0,Bungalow,6534.0,Partly Furnished,Land area
3481,Seputeh,5500000.0,6,5.0,2.0,Bungalow (Intermediate),5442.0,Partly Furnished,Land area
3482,Bukit Tunku (Kenny Hills),15000000.0,7+1,8.0,6.0,Bungalow (Corner),12000.0,Partly Furnished,Land area
3484,KLCC,2350000.0,3+1,4.0,2.0,Serviced Residence,1804.0,Partly Furnished,Built-up
3485,Mont Kiara,2700000.0,4+1,6.0,3.0,Condominium,2874.0,Partly Furnished,Built-up
3488,Jalan Klang Lama (Old Klang Road),698000.0,3,2.0,2.0,Serviced Residence,891.0,Partly Furnished,Built-up
3491,Cheras,408000.0,2,2.0,1.0,Condominium (Intermediate),825.0,Fully Furnished,Built-up
3492,Sungai Besi,460000.0,Studio,1.0,1.0,Serviced Residence (Intermediate),750.0,Partly Furnished,Built-up
3493,Sungai Besi,600000.0,2+1,2.0,2.0,Serviced Residence (Intermediate),1025.0,Fully Furnished,Built-up
3497,Mont Kiara,750000.0,2,2.0,1.0,Condominium,930.0,Fully Furnished,Built-up
3498,Bukit Jalil,450000.0,3,2.0,1.0,Condominium,1080.0,Partly Furnished,Built-up
3500,Sentul,1200000.0,3+1,3.0,2.0,Condominium,1757.0,Partly Furnished,Land area
3501,Pantai,768000.0,3,2.0,2.0,Condominium (Corner),1209.0,Fully Furnished,Built-up
3502,Setapak,485000.0,3+1,2.0,2.0,Condominium (Intermediate),1333.0,Partly Furnished,Built-up
3503,Desa Petaling,130000.0,2,1.0,1.0,Flat (Corner),550.0,Partly Furnished,Built-up
3504,Sentul,628000.0,3,2.0,1.0,Condominium,1001.0,Partly Furnished,Built-up
3505,Mont Kiara,650000.0,1,1.0,1.0,Serviced Residence,650.0,Fully Furnished,Built-up
3506,Desa Petaling,325000.0,3,2.0,1.0,Apartment (Intermediate),1016.0,Partly Furnished,Built-up
3507,Dutamas,720000.0,3+1,3.0,2.0,Condominium (Intermediate),1378.0,Fully Furnished,Built-up
3509,Mont Kiara,1850000.0,3+1,4.0,2.0,Condominium,2038.0,Partly Furnished,Built-up
3510,Mont Kiara,900000.0,3,3.0,2.0,Condominium,1828.0,Partly Furnished,Built-up
3511,Mont Kiara,2700000.0,3+1,4.0,3.0,Condominium (Duplex),2690.0,Fully Furnished,Built-up
3514,Bukit Jalil,450000.0,3,2.0,1.0,Condominium (EndLot),1222.0,Fully Furnished,Land area
3516,Dutamas,728000.0,1,1.0,1.0,Serviced Residence,672.0,Fully Furnished,Built-up
3517,Mont Kiara,1250000.0,4,3.0,2.0,Condominium,1605.0,Fully Furnished,Built-up
3518,Mont Kiara,1600000.0,3+1,4.0,2.0,Condominium,2002.0,Partly Furnished,Built-up
3519,Mont Kiara,860000.0,3,2.0,1.0,Condominium,1268.0,Fully Furnished,Built-up
3520,Mont Kiara,1300000.0,3+1,3.0,2.0,Condominium,1448.0,Fully Furnished,Built-up
3521,Mont Kiara,1800000.0,4,5.0,2.0,Condominium,2055.0,Fully Furnished,Built-up
3522,Mont Kiara,2650000.0,4+1,4.0,3.0,Condominium,3000.0,Partly Furnished,Built-up
3525,Mont Kiara,664020.0,1,1.0,1.0,Serviced Residence,696.0,Partly Furnished,Built-up
3526,Setapak,650000.0,4,3.0,2.0,2-sty Terrace/Link House (Corner),1790.0,Partly Furnished,Land area
3527,Kuchai Lama,800000.0,5+1,5.0,2.0,Condominium,2378.0,Unfurnished,Built-up
3529,Bukit Jalil,395000.0,3,2.0,1.0,Apartment (EndLot),952.0,Fully Furnished,Built-up
3534,Mont Kiara,1285000.0,5+1,5.0,3.0,Condominium,2069.0,Partly Furnished,Built-up
3536,Setapak,298000.0,3,2.0,1.0,Condominium,931.0,Unfurnished,Built-up
3537,Setapak,500000.0,4,2.0,2.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up
3538,Setapak,248000.0,3,2.0,1.0,Condominium,845.0,Partly Furnished,Built-up
3542,Setapak,550000.0,4,2.0,2.0,Condominium,1500.0,Partly Furnished,Built-up
3544,Desa Pandan,790000.0,2,2.0,2.0,Serviced Residence (Intermediate),1076.0,Fully Furnished,Built-up
3547,Jalan Kuching,1050000.0,4+1,4.0,2.0,Condominium (Corner),2190.0,Fully Furnished,Built-up
3548,Mont Kiara,2730000.0,4+1,5.0,3.0,Condominium (Corner),3043.0,Partly Furnished,Built-up
3549,KLCC,1149000.0,3+1,3.0,2.0,Serviced Residence (Corner),625.0,Partly Furnished,Built-up
3550,Jalan Klang Lama (Old Klang Road),338000.0,3,2.0,2.0,Serviced Residence (Intermediate),950.0,Partly Furnished,Built-up
3551,Jalan Kuching,385000.0,3,2.0,2.0,Apartment,1221.0,Partly Furnished,Land area
3560,Mont Kiara,1410000.0,3+1,4.0,2.0,Condominium (Corner),1496.0,Partly Furnished,Built-up
3562,Mont Kiara,2790000.0,4+1,5.0,3.0,Condominium,2767.0,Partly Furnished,Built-up
3563,Bukit Bintang,7397250.0,4+2,5.0,2.0,Serviced Residence (Corner),4227.0,Partly Furnished,Built-up
3565,Mont Kiara,1401662.0,3,3.0,2.0,Condominium,1603.0,Partly Furnished,Built-up
3566,Mont Kiara,1678225.0,4+1,4.0,2.0,Condominium,2065.0,Partly Furnished,Built-up
3567,Mont Kiara,2106463.0,4+1,5.0,3.0,Condominium,2766.0,Partly Furnished,Built-up
3568,Mont Kiara,1790820.0,4+1,4.0,3.0,Condominium,2163.0,Partly Furnished,Built-up
3569,Mont Kiara,1719148.0,4+1,4.0,3.0,Condominium,2163.0,Partly Furnished,Built-up
3570,Mont Kiara,2188533.0,4,4.0,3.0,Condominium,2766.0,Partly Furnished,Built-up
3572,Bukit Jalil,1080000.0,3,3.0,2.0,Serviced Residence,1339.0,Partly Furnished,Built-up
3574,KL Sentral,2050000.0,4+2,4.0,2.0,Condominium,2850.0,Partly Furnished,Built-up
3575,Taman Tun Dr Ismail,5300000.0,6,4.0,4.0,Bungalow (Corner),6860.0,Partly Furnished,Land area
3576,Jalan Klang Lama (Old Klang Road),518000.0,4,4.0,3.0,Condominium (Intermediate),1362.0,Unfurnished,Built-up
3577,Mont Kiara,3500000.0,4+2,5.0,3.0,Condominium (Corner),4090.0,Partly Furnished,Built-up
3580,KLCC,1880000.0,2+1,2.0,1.0,Serviced Residence (Corner),1299.0,Fully Furnished,Built-up
3581,KLCC,1820000.0,2+1,2.0,1.0,Serviced Residence (Corner),1190.0,Fully Furnished,Built-up
3583,Cheras,368620.0,2+1,2.0,2.0,Serviced Residence,650.0,Partly Furnished,Built-up
3584,Setapak,500000.0,3,2.0,2.0,Serviced Residence (Corner),1059.0,Partly Furnished,Built-up
3585,KLCC,1200000.0,2+1,2.0,1.0,Serviced Residence (Corner),900.0,Fully Furnished,Built-up
3586,KLCC,950000.0,2+1,1.0,1.0,Serviced Residence (Corner),650.0,Fully Furnished,Built-up
3588,Jalan Klang Lama (Old Klang Road),398800.0,1,2.0,1.0,Serviced Residence (Duplex),775.0,Fully Furnished,Built-up
3589,Taman Tun Dr Ismail,800000.0,3,2.0,1.0,Condominium (Intermediate),1400.0,Partly Furnished,Built-up
3590,Ampang,1400000.0,5,4.0,6.0,Semi-detached House,3200.0,Partly Furnished,Land area
3592,Mont Kiara,1307475.0,4+2,4.0,3.0,Condominium,2081.0,Partly Furnished,Built-up
3593,Bukit Jalil,530000.0,3,3.0,2.0,Condominium (Intermediate),1003.0,Unfurnished,Built-up
