,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
46118,Dutamas,1350000.0,3+1,4.0,2.0,Condominium,1876.0,Fully Furnished,Built-up
46119,Dutamas,1320000.0,3+1,4.0,2.0,Condominium,2656.0,Fully Furnished,Built-up
46120,Dutamas,1350000.0,5+1,4.0,3.0,Condominium (Duplex),2353.0,Fully Furnished,Built-up
46121,Jalan Ipoh,530000.0,3,2.0,1.0,Condominium (Intermediate),1011.0,Fully Furnished,Built-up
46122,Dutamas,1155000.0,3+1,4.0,2.0,Condominium,1973.0,Partly Furnished,Built-up
46125,Setapak,1376000.0,5+1,5.0,3.0,Condominium,2685.0,Unfurnished,Built-up
46128,Dutamas,1040000.0,3+1,5.0,2.0,Condominium,1876.0,Partly Furnished,Built-up
46129,Jalan Ipoh,830000.0,3,2.0,2.0,Condominium,1420.0,Fully Furnished,Built-up
46130,Jalan Ipoh,540000.0,3,2.0,1.0,Condominium (Intermediate),1037.0,Unfurnished,Built-up
46131,Jalan Kuching,720000.0,3,2.0,1.0,Condominium (Corner),1015.0,Fully Furnished,Built-up
46132,Jalan Ipoh,580000.0,3,2.0,2.0,Condominium (Corner),1113.0,Partly Furnished,Built-up
46133,Segambut,760000.0,3+1,3.0,2.0,Condominium (Intermediate),1893.0,Partly Furnished,Built-up
46134,Jalan Kuching,670000.0,3,2.0,1.0,Condominium,1200.0,Fully Furnished,Built-up
46135,Setapak,830000.0,3,3.0,2.0,Condominium,1440.0,Partly Furnished,Built-up
46138,Jalan Ipoh,460000.0,2,1.0,1.0,Condominium,698.0,Fully Furnished,Built-up
46139,Jalan Ipoh,580000.0,3,2.0,2.0,Condominium (Intermediate),911.0,Partly Furnished,Built-up
46140,Setapak,930000.0,3,3.0,2.0,Condominium,1520.0,Unfurnished,Built-up
46142,Segambut,649000.0,3+1,3.0,2.0,Condominium (Intermediate),1577.0,Fully Furnished,Built-up
46143,Segambut,800000.0,3+1,3.0,2.0,Condominium (Intermediate),1893.0,Fully Furnished,Built-up
46144,Jalan Ipoh,600000.0,3,2.0,2.0,Condominium (Intermediate),1113.0,Partly Furnished,Built-up
46149,Bukit Jalil,700000.0,3,2.0,2.0,Serviced Residence (Corner),971.0,Unfurnished,Built-up
46150,Brickfields,505000.0,2+1,2.0,1.0,Condominium (Intermediate),1050.0,Fully Furnished,Land area
46151,Seputeh,765000.0,2+1,2.0,1.0,Condominium (Penthouse),915.0,Partly Furnished,Land area
46153,Sri Hartamas,700000.0,3,2.0,1.0,Condominium (Intermediate),1246.0,Fully Furnished,Built-up
46154,Jalan Klang Lama (Old Klang Road),745000.0,3+1,3.0,2.0,Condominium (Intermediate),1392.0,Unfurnished,Built-up
46158,KLCC,1050000.0,2,2.0,1.0,Condominium,1047.0,Fully Furnished,Built-up
